LECROYSDA18000 15238 Waveform
Segments 1 SegmentSize 302
Segment TrigTime TimeSinceSegment1
#1 01-Jan-2002 01:29:58 0                 
Time Ampl
-2.50862e-009 0.0161654
-2.49196e-009 0.00639427
-2.47529e-009 -0.0136314
-2.45862e-009 0.000628256
-2.44196e-009 0.0163381
-2.42529e-009 0.00301062
-2.40862e-009 -0.00158147
-2.39196e-009 0.0122811
-2.37529e-009 0.00851768
-2.35862e-009 -0.00173685
-2.34196e-009 0.00996782
-2.32529e-009 0.0159237
-2.30862e-009 -0.00353225
-2.29196e-009 -0.0139076
-2.27529e-009 -0.00168505
-2.25862e-009 0.00610079
-2.24196e-009 0.00109437
-2.22529e-009 -0.00662242
-2.20862e-009 -0.0124575
-2.19196e-009 -0.00719212
-2.17529e-009 0.00584184
-2.15862e-009 0.00188849
-2.14196e-009 -0.0155822
-2.12529e-009 -0.0152887
-2.10862e-009 -0.0012362
-2.09196e-009 0.00126701
-2.07529e-009 -0.00113262
-2.05862e-009 0.00263082
-2.04196e-009 0.000662783
-2.02529e-009 -0.00527587
-2.00862e-009 -0.00139158
-1.99196e-009 0.00304515
-1.97529e-009 -0.00128799
-1.95862e-009 -0.00149516
-1.94196e-009 0.00513403
-1.92529e-009 0.00767177
-1.90862e-009 0.0080343
-1.89196e-009 0.00765451
-1.87529e-009 7.58236e-005
-1.85862e-009 -0.00515502
-1.84196e-009 0.00211292
-1.82529e-009 0.00717113
-1.80862e-009 0.00154322
-1.79196e-009 -0.00247918
-1.77529e-009 -0.00422279
-1.75862e-009 -0.00731296
-1.74196e-009 0.000524675
-1.72529e-009 0.013058
-1.70862e-009 0.00537572
-1.69196e-009 -0.00950543
-1.67529e-009 -0.00185769
-1.65862e-009 0.00982971
-1.64196e-009 -0.000649244
-1.62529e-009 -0.00960901
-1.60862e-009 0.00143964
-1.59196e-009 0.00620437
-1.57529e-009 -0.00367036
-1.55862e-009 -0.00192674
-1.54196e-009 0.00862126
-1.52529e-009 0.00064552
-1.50862e-009 -0.0157376
-1.49196e-009 -0.00933279
-1.47529e-009 0.011815
-1.45862e-009 0.0150433
-1.44196e-009 -0.00235833
-1.42529e-009 -0.0148399
-1.40862e-009 -0.0100061
-1.39196e-009 0.00142238
-1.37529e-009 0.0080343
-1.35862e-009 0.00736103
-1.34196e-009 0.000110351
-1.32529e-009 -0.00696769
-1.30862e-009 -0.00266908
-1.29196e-009 0.00922549
-1.27529e-009 0.0112453
-1.25862e-009 0.00187123
-1.24196e-009 -0.00278992
-1.22529e-009 0.00169859
-1.20862e-009 0.006049
-1.19196e-009 0.00680859
-1.17529e-009 0.00501319
-1.15862e-009 0.00137059
-1.14196e-009 0.0013188
-1.12529e-009 0.00513403
-1.10862e-009 0.00223376
-1.09196e-009 -0.00644978
-1.07529e-009 -0.00641526
-1.05862e-009 -4.5021e-005
-1.04196e-009 -0.00291076
-1.02529e-009 -0.0118187
-1.00862e-009 -0.0125265
-9.91957e-010 -0.00517228
-9.75291e-010 0.00332136
-9.58624e-010 0.0102268
-9.41957e-010 0.0113834
-9.25291e-010 0.00687765
-9.08624e-010 0.00344221
-8.91957e-010 -0.000735562
-8.75291e-010 -0.00922921
-8.58624e-010 -0.0103513
-8.41957e-010 -0.000183129
-8.25291e-010 0.00209565
-8.08624e-010 -0.00808982
-7.91957e-010 -0.0100579
-7.75291e-010 -0.00216843
-7.58624e-010 -0.00227201
-7.41957e-010 -0.00513776
-7.25291e-010 0.00309694
-7.08624e-010 0.0106584
-6.91957e-010 0.00779261
-6.75291e-010 0.00603174
-6.58624e-010 0.00375295
-6.41957e-010 -0.00867678
-6.25291e-010 -0.0119223
-6.08624e-010 0.00656691
-5.91957e-010 0.0144045
-5.75291e-010 -0.0036531
-5.58624e-010 -0.00978164
-5.41957e-010 0.0093118
-5.25291e-010 0.0159928
-5.08624e-010 0.00169859
-4.91957e-010 -0.0037912
-4.75291e-010 -0.000511136
-4.58624e-010 -0.00415374
-4.41957e-010 -0.000373028
-4.25291e-010 0.0136967
-4.08624e-010 0.00869032
-3.91957e-010 -0.0132861
-3.75291e-010 -0.0181717
-3.58624e-010 -0.00824519
-3.41957e-010 -0.00600093
-3.25291e-010 -0.00401563
-3.08624e-010 0.0022165
-2.91957e-010 -0.00363583
-2.75291e-010 -0.0107139
-2.58624e-010 0.00249272
-2.41957e-010 0.0128336
-2.25291e-010 -0.00159874
-2.08624e-010 -0.0109038
-1.91957e-010 0.0029243
-1.75291e-010 0.0103649
-1.58624e-010 0.00237187
-1.41957e-010 0.00345947
-1.25291e-010 0.0127472
-1.08624e-010 0.0124192
-9.19575e-011 0.00808609
-7.52908e-011 0.0058591
-5.86241e-011 -0.00151242
-4.19575e-011 -0.00546576
-2.52908e-011 0.00558288
-8.62413e-012 0.0170286
8.04254e-012 0.0182025
2.47092e-011 0.02459
4.13759e-011 0.0425095
5.80425e-011 0.0597731
7.47092e-011 0.0782278
9.13759e-011 0.109043
1.08043e-010 0.144848
1.24709e-010 0.170536
1.41376e-010 0.188006
1.58043e-010 0.21038
1.74709e-010 0.241109
1.91376e-010 0.267609
2.08043e-010 0.279589
2.24709e-010 0.28722
2.41376e-010 0.302308
2.58043e-010 0.31315
2.74709e-010 0.306848
2.91376e-010 0.29466
3.08043e-010 0.287738
3.24709e-010 0.278985
3.41376e-010 0.265606
3.58043e-010 0.251381
3.74709e-010 0.228835
3.91376e-010 0.197432
4.08043e-010 0.177389
4.24709e-010 0.173747
4.41376e-010 0.163026
4.58043e-010 0.13594
4.74709e-010 0.110511
4.91376e-010 0.0954913
5.08043e-010 0.0812143
5.24709e-010 0.0654355
5.41376e-010 0.0559406
5.58043e-010 0.0524015
5.74709e-010 0.0473261
5.91376e-010 0.0401962
6.08043e-010 0.0366917
6.24709e-010 0.0363292
6.41376e-010 0.0326348
6.58043e-010 0.0251079
6.74709e-010 0.0205331
6.91376e-010 0.0216034
7.08043e-010 0.0242447
7.24709e-010 0.02295
7.41376e-010 0.0142664
7.58043e-010 0.00354579
7.74709e-010 0.00320052
7.91376e-010 0.0104857
8.08043e-010 0.00611805
8.24709e-010 -0.00869404
8.41376e-010 -0.00878036
8.58043e-010 0.00730924
8.74709e-010 0.0125573
8.91376e-010 0.00318326
9.08043e-010 0.00207839
9.24709e-010 0.0105548
9.41376e-010 0.00888022
9.58043e-010 -0.000321237
9.74709e-010 0.00306241
9.91376e-010 0.0159065
1.00804e-009 0.0172358
1.02471e-009 0.00853495
1.04138e-009 0.00939812
1.05804e-009 0.0161309
1.07471e-009 0.00799978
1.09138e-009 -0.00771002
1.10804e-009 -0.00724391
1.12471e-009 0.00175038
1.14138e-009 -0.000839143
1.15804e-009 -0.00411921
1.17471e-009 0.00326957
1.19138e-009 0.00447802
1.20804e-009 -0.00173685
1.22471e-009 0.00501319
1.24138e-009 0.0132997
1.25804e-009 0.00109437
1.27471e-009 -0.00853867
1.29138e-009 0.00532393
1.30804e-009 0.014042
1.32471e-009 0.00199207
1.34138e-009 -0.00422279
1.35804e-009 0.00126701
1.37471e-009 0.000300249
1.39138e-009 -0.00163326
1.40804e-009 0.00216471
1.42471e-009 -0.00135705
1.44138e-009 -0.00707127
1.45804e-009 -0.00175411
1.47471e-009 -0.00139158
1.49138e-009 -0.0111109
1.50804e-009 -0.00574198
1.52471e-009 0.00836231
1.54138e-009 0.00143964
1.55804e-009 -0.00993701
1.57471e-009 0.000921736
1.59138e-009 0.00989876
1.60804e-009 -0.00120168
1.62471e-009 -0.00584556
1.64138e-009 0.0040637
1.65804e-009 0.00658417
1.67471e-009 0.00197481
1.69138e-009 0.000386567
1.70804e-009 -0.00373941
1.72471e-009 -0.00341141
1.74138e-009 0.0116079
1.75804e-009 0.017909
1.77471e-009 -0.00189222
1.79138e-009 -0.019242
1.80804e-009 -0.0104722
1.82471e-009 0.0071366
1.84138e-009 0.0129371
1.85804e-009 0.00561741
1.87471e-009 -0.00596641
1.89138e-009 -0.00660516
1.90804e-009 0.00703302
1.92471e-009 0.0163381
1.94138e-009 0.0125746
1.95804e-009 0.00667049
1.97471e-009 -0.000303974
1.99138e-009 -0.00905658
2.00804e-009 -0.00425732
2.02471e-009 0.0125573
2.04138e-009 0.0167696
2.05804e-009 0.00765451
2.07471e-009 0.00358032
2.09138e-009 0.00337315
2.10804e-009 0.00363211
2.12471e-009 0.0105548
2.14138e-009 0.0101577
2.15804e-009 -0.00807256
2.17471e-009 -0.0151161
2.19138e-009 0.00245819
2.20804e-009 0.0104512
2.22471e-009 0.000386567
2.24138e-009 0.00354579
2.25804e-009 0.0153195
2.27471e-009 0.00851768
2.29138e-009 -0.00151242
2.30804e-009 0.00396011
2.32471e-009 0.00427086
2.34138e-009 -0.00468891
2.35804e-009 0.00219924
2.37471e-009 0.0163208
2.39138e-009 0.0109
2.40804e-009 -0.00058019
2.42471e-009 0.00340768
2.44138e-009 0.0107101
2.45804e-009 0.0112108
2.47471e-009 0.0119013
2.49138e-009 0.00749913
2.50804e-009 -0.00531039
