LECROYSDA18000 15238 Waveform
Segments 1 SegmentSize 302
Segment TrigTime TimeSinceSegment1
#1 01-Jan-2002 00:53:25 0                 
Time Ampl
-2.90052e-009 -0.013131
-2.88385e-009 0.00834482
-2.86719e-009 -0.0026693
-2.85052e-009 -0.0109213
-2.83385e-009 0.000265499
-2.81719e-009 -0.00184065
-2.80052e-009 -0.00985092
-2.78385e-009 -0.00598389
-2.76719e-009 -0.00826268
-2.75052e-009 -0.00954018
-2.73385e-009 0.00544455
-2.71719e-009 0.00558266
-2.70052e-009 -0.0103343
-2.68385e-009 0.000576242
-2.66719e-009 0.0156991
-2.65052e-009 -0.00929849
-2.63385e-009 -0.0311541
-2.61719e-009 -0.0135453
-2.60052e-009 -0.000355987
-2.58385e-009 -0.0030491
-2.56719e-009 0.00934611
-2.55052e-009 0.0155955
-2.53385e-009 0.00161205
-2.51719e-009 0.00889726
-2.50052e-009 0.0282324
-2.48385e-009 0.0135929
-2.46719e-009 -0.00329078
-2.45052e-009 0.0119356
-2.43385e-009 0.0140418
-2.41719e-009 -0.00567315
-2.40052e-009 0.000610769
-2.38385e-009 0.0119356
-2.36719e-009 -0.0116809
-2.35052e-009 -0.0260096
-2.33385e-009 -0.00332531
-2.31719e-009 0.00989854
-2.30052e-009 0.00444327
-2.28385e-009 0.00513381
-2.26719e-009 -0.00798646
-2.25052e-009 -0.0297385
-2.23385e-009 -0.00916038
-2.21719e-009 0.027093
-2.20052e-009 0.00996759
-2.18385e-009 -0.0260786
-2.16719e-009 -0.0139596
-2.15052e-009 0.0159753
-2.13385e-009 0.0142489
-2.11719e-009 -0.00342889
-2.10052e-009 -0.0139251
-2.08385e-009 -0.0143049
-2.06719e-009 -0.00232403
-2.05052e-009 0.00520286
-2.03385e-009 -0.00498261
-2.01719e-009 -0.00871153
-2.00052e-009 -0.000666731
-1.98385e-009 -0.00591484
-1.96719e-009 -0.00646727
-1.95052e-009 0.0174254
-1.93385e-009 0.0151812
-1.91719e-009 -0.0268382
-1.90052e-009 -0.029773
-1.88385e-009 0.0171147
-1.86719e-009 0.0280598
-1.85052e-009 -0.00159896
-1.83385e-009 -0.00373964
-1.81719e-009 0.00948422
-1.80052e-009 -0.00225497
-1.78385e-009 -0.00746856
-1.76719e-009 0.00872462
-1.75052e-009 0.00706732
-1.73385e-009 -0.00360153
-1.71719e-009 0.0121773
-1.70052e-009 0.0260572
-1.68385e-009 0.00875915
-1.66719e-009 -0.00850437
-1.65052e-009 -0.00622558
-1.63385e-009 0.00188827
-1.61719e-009 0.0146287
-1.60052e-009 0.0198769
-1.58385e-009 -0.003567
-1.56719e-009 -0.0242832
-1.55052e-009 -0.00695065
-1.53385e-009 0.0107617
-1.51719e-009 -0.00270383
-1.50052e-009 -0.0123023
-1.48385e-009 -0.00329078
-1.46719e-009 -0.000528623
-1.45052e-009 0.00492665
-1.43385e-009 0.0218104
-1.41719e-009 0.0140073
-1.40052e-009 -0.0181029
